iter	Passed	Remaining
443	5045	6317
444	5059	6309
445	5069	6297
446	5084	6290
447	5097	6280
448	5107	6267
449	5121	6259
450	5131	6246
451	5143	6236
452	5157	6227
453	5166	6213
454	5185	6211
455	5200	6203
456	5212	6193
457	5222	6180
458	5236	6171
459	5247	6159
460	5260	6150
461	5272	6139
462	5290	6135
463	5307	6131
464	5323	6124
465	5338	6117
466	5352	6108
467	5369	6104
468	5386	6098
469	5400	6090
470	5411	6077
471	5420	6064
472	5431	6051
473	5442	6039
474	5451	6025
475	5463	6014
476	5473	6001
477	5485	5990
478	5496	5978
479	5508	5967
480	5517	5953
481	5530	5943
482	5541	5931
483	5550	5917
484	5561	5905
485	5570	5891
486	5580	5878
487	5589	5864
488	5599	5850
489	5608	5837
490	5618	5824
491	5628	5811
492	5641	5801
493	5650	5787
494	5659	5773
495	5668	5760
496	5679	5747
497	5688	5734
498	5698	5721
499	5708	5708
500	5718	5695
501	5727	5681
502	5736	5668
503	5747	5655
504	5757	5643
505	5767	5630
506	5777	5618
507	5787	5604
508	5797	5592
509	5807	5579
510	5818	5568
511	5828	5555
512	5840	5544
513	5849	5530
514	5859	5518
515	5869	5505
516	5880	5493
517	5889	5480
518	5900	5468
519	5909	5454
520	5919	5442
521	5929	5429
522	5939	5416
523	5948	5403
524	5958	5390
525	5967	5377
526	5976	5364
527	5986	5351
528	5996	5338
529	6005	5325
530	6015	5313
531	6025	5300
532	6037	5289
533	6046	5276
534	6056	5264
535	6065	5250
536	6075	5238
537	6085	5225
538	6098	5215
539	6108	5203
540	6117	5190
541	6128	5178
542	6137	5165
543	6147	5152
544	6156	5139
545	6165	5126
546	6175	5114
547	6184	5100
548	6194	5088
549	6203	5075
550	6213	5063
551	6222	5050
552	6232	5038
553	6241	5024
554	6250	5012
555	6259	4998
556	6268	4985
557	6277	4972
558	6286	4959
559	6295	4946
560	6304	4933
561	6313	4920
562	6322	4907
563	6331	4894
564	6341	4882
565	6351	4870
566	6362	4858
567	6374	4848
568	6388	4838
569	6408	4834
570	6428	4829
571	6437	4816
572	6448	4805
573	6457	4792
574	6467	4780
575	6476	4767
576	6487	4755
577	6496	4742
578	6505	4730
579	6514	4717
580	6524	4705
581	6533	4692
582	6543	4680
583	6552	4667
584	6561	4654
585	6569	4641
586	6578	4628
587	6587	4616
588	6596	4603
589	6606	4591
590	6618	4579
591	6627	4567
592	6636	4554
593	6645	4542
594	6654	4529
595	6663	4517
596	6672	4504
597	6682	4492
598	6691	4479
599	6700	4467
600	6709	4454
601	6720	4442
602	6729	4430
603	6743	4421
604	6753	4409
605	6763	4397
606	6773	4385
607	6783	4373
608	6793	4361
609	6803	4349
610	6813	4337
611	6822	4325
612	6832	4313
613	6842	4301
614	6852	4289
615	6863	4278
616	6872	4266
617	6881	4253
618	6891	4241
619	6900	4229
620	6911	4218
621	6921	4206
622	6930	4194
623	6940	4182
624	6951	4170
625	6960	4158
626	6975	4149
627	6984	4137
628	6994	4125
629	7004	4114
630	7015	4102
631	7024	4090
632	7034	4078
633	7043	4066
634	7054	4055
635	7064	4043
636	7074	4031
637	7083	4019
638	7093	4007
639	7103	3995
640	7113	3984
641	7122	3971
642	7132	3959
643	7142	3948
644	7152	3936
645	7160	3924
646	7171	3912
647	7180	3900
648	7190	3889
649	7200	3877
650	7210	3865
651	7219	3853
652	7229	3841
653	7238	3829
654	7248	3817
655	7257	3805
656	7267	3794
657	7276	3782
658	7286	3770
659	7295	3758
660	7304	3745
661	7312	3733
662	7322	3721
663	7333	3710
664	7343	3699
665	7352	3687
666	7362	3675
667	7371	3663
668	7382	3652
669	7390	3640
670	7400	3628
671	7409	3616
672	7420	3605
673	7429	3593
674	7439	3581
675	7448	3570
676	7458	3558
677	7468	3546
678	7478	3535
679	7487	3523
680	7497	3511
681	7506	3499
682	7516	3488
683	7525	3476
684	7535	3465
685	7544	3453
686	7554	3441
687	7563	3430
688	7573	3418
689	7582	3406
690	7594	3396
691	7605	3384
692	7614	3373
693	7623	3361
694	7632	3349
695	7642	3337
696	7651	3326
697	7661	3314
698	7670	3303
699	7680	3291
700	7689	3280
701	7700	3268
702	7709	3257
703	7720	3245
704	7729	3234
705	7739	3222
706	7756	3214
707	7771	3205
708	7783	3194
709	7798	3185
710	7808	3173
711	7818	3162
712	7830	3152
713	7840	3140
714	7854	3130
715	7864	3119
716	7877	3109
717	7891	3099
718	7900	3087
719	7913	3077
720	7923	3066
721	7934	3055
722	7944	3043
723	7955	3032
724	7967	3022
725	7976	3010
726	7989	3000
727	7998	2988
728	8011	2978
729	8020	2966
730	8033	2956
731	8046	2945
732	8055	2934
733	8067	2923
734	8078	2912
735	8090	2902
736	8102	2891
737	8112	2880
738	8124	2869
739	8134	2857
740	8145	2847
741	8155	2835
742	8168	2825
743	8178	2814
744	8188	2802
745	8198	2791
746	8208	2780
747	8218	2768
748	8229	2757
749	8239	2746
750	8249	2735
751	8259	2724
752	8269	2712
753	8281	2701
754	8292	2690
755	8307	2681
756	8320	2671
757	8332	2660
758	8346	2650
759	8357	2639
760	8367	2627
761	8378	2616
762	8388	2605
763	8401	2595
764	8410	2583
765	8427	2574
766	8444	2565
767	8456	2554
768	8466	2543
769	8477	2532
770	8486	2520
771	8499	2510
772	8510	2499
773	8520	2487
774	8531	2476
775	8541	2465
776	8551	2454
777	8562	2443
778	8575	2432
779	8584	2421
780	8596	2410
781	8605	2399
782	8615	2387
783	8625	2376
784	8635	2365
785	8643	2353
786	8653	2341
787	8661	2330
788	8671	2319
789	8681	2307
790	8691	2296
791	8700	2285
792	8711	2273
793	8720	2262
794	8730	2251
795	8739	2239
796	8749	2228
797	8759	2217
798	8769	2206
799	8780	2195
800	8789	2183
801	8798	2172
802	8808	2160
803	8817	2149
804	8826	2138
805	8836	2126
806	8845	2115
807	8855	2104
808	8864	2092
809	8874	2081
810	8884	2070
811	8894	2059
812	8904	2048
813	8913	2036
814	8924	2025
815	8935	2014
816	8947	2004
817	8956	1992
818	8965	1981
819	8974	1969
820	8983	1958
821	8992	1947
822	9002	1936
823	9011	1924
824	9022	1913
825	9032	1902
826	9042	1891
827	9051	1880
828	9064	1869
829	9072	1858
830	9085	1847
831	9094	1836
832	9104	1825
833	9113	1813
834	9122	1802
835	9131	1791
836	9140	1780
837	9150	1768
838	9160	1757
839	9169	1746
840	9180	1735
841	9189	1724
842	9199	1713
843	9208	1702
844	9218	1690
845	9228	1679
846	9237	1668
847	9247	1657
848	9256	1646
849	9266	1635
850	9275	1624
851	9285	1612
852	9293	1601
853	9304	1590
854	9313	1579
855	9323	1568
856	9333	1557
857	9342	1546
858	9351	1535
859	9361	1523
860	9370	1512
861	9380	1501
862	9389	1490
863	9399	1479
864	9408	1468
865	9417	1457
866	9426	1446
867	9435	1434
868	9443	1423
869	9452	1412
870	9461	1401
871	9471	1390
872	9480	1379
873	9491	1368
874	9518	1359
875	9538	1350
876	9550	1339
877	9571	1330
878	9583	1319
879	9596	1308
880	9606	1297
881	9618	1286
882	9630	1276
883	9638	1264
884	9647	1253
885	9658	1242
886	9668	1231
887	9677	1220
888	9688	1209
889	9697	1198
890	9708	1187
891	9717	1176
892	9732	1166
893	9745	1155
894	9755	1144
895	9767	1133
896	9776	1122
897	9790	1112
898	9801	1101
899	9811	1090
900	9821	1079
901	9831	1068
902	9841	1057
903	9851	1046
904	9861	1035
905	9871	1024
906	9881	1013
907	9892	1002
908	9902	991
909	9911	980
910	9921	969
911	9931	958
912	9941	947
913	9951	936
914	9962	925
915	9971	914
916	9982	903
917	9991	892
918	10001	881
919	10011	870
920	10021	859
921	10030	848
922	10043	837
923	10055	827
924	10066	816
925	10080	805
926	10089	794
927	10102	783
928	10114	773
929	10124	762
930	10139	751
931	10148	740
932	10161	729
933	10171	718
934	10183	707
935	10196	697
936	10207	686
937	10222	675
938	10234	664
939	10243	653
940	10258	643
941	10268	632
942	10280	621
943	10292	610
944	10302	599
945	10313	588
946	10322	577
947	10334	566
948	10344	555
949	10356	545
950	10367	534
951	10377	523
952	10386	512
953	10396	501
954	10406	490
955	10416	479
956	10425	468
957	10435	457
958	10444	446
959	10453	435
960	10463	424
961	10473	413
962	10481	402
963	10490	391
964	10500	380
965	10508	369
966	10519	358
967	10536	348
968	10548	337
969	10560	326
970	10607	316
971	10635	306
972	10668	296
973	10679	285
974	10692	274
975	10705	263
976	10718	252
977	10731	241
978	10740	230
979	10753	219
980	10763	208
981	10772	197
982	10782	186
983	10792	175
984	10802	164
985	10812	153
986	10822	142
987	10831	131
988	10841	120
989	10852	109
990	10861	98
991	10870	87
992	10879	76
993	10890	65
994	10902	54
995	10916	43
996	10930	32
997	10946	21
998	10958	10
999	10968	0
